%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status
1362970476278459921,0,1362970476278459921,,1362970476.278467859,Resetted, NOFACE, NOTELECTED, NOGROUP, None, NOP, ;
1362970476398485864,1,1362970476398485864,,1362970476.398504969,Resetted, NOFACE, NOTELECTED, NOGROUP, None, NOP, ;
1362970476518458574,2,1362970476518458574,,1362970476.518465600,Resetted, NOFACE, NOTELECTED, NOGROUP, None, NOP, ;
1362970476638458681,3,1362970476638458681,,1362970476.638465146,Resetted, NOFACE, NOTELECTED, NOGROUP, None, NOP, ;
1362970476758461659,4,1362970476758461659,,1362970476.758469690,Resetted, NOFACE, NOTELECTED, NOGROUP, None, NOP, ;
1362970476878460207,5,1362970476878460207,,1362970476.878468315,Resetted, NOFACE, NOTELECTED, NOGROUP, None, NOP, ;
1362970476998462806,6,1362970476998462806,,1362970476.998471438,Resetted, NOFACE, NOTELECTED, NOGROUP, None, NOP, ;
1362970477118457538,7,1362970477118457538,,1362970477.118464101,Resetted, NOFACE, NOTELECTED, NOGROUP, None, NOP, ;
1362970477238453359,8,1362970477238453359,,1362970477.238460250,Resetted, NOFACE, NOTELECTED, NOGROUP, None, NOP, ;
1362970477358464215,9,1362970477358464215,,1362970477.358472242,Resetted, NOFACE, NOTELECTED, NOGROUP, None, NOP, ;
1362970477478463737,10,1362970477478463737,,1362970477.478472014,Resetted, NOFACE, NOTELECTED, NOGROUP, None, NOP, ;
1362970477598470018,11,1362970477598470018,,1362970477.598477588,Taking Off, NOFACE, NOTELECTED, NOGROUP, None, NOP, ;
1362970477718457364,12,1362970477718457364,,1362970477.718465003,Taking Off, NOFACE, NOTELECTED, NOGROUP, None, NOP, ;
1362970477838470900,13,1362970477838470900,,1362970477.838480785,Taking Off, NOFACE, NOTELECTED, NOGROUP, None, NOP, ;
1362970477958479286,14,1362970477958479286,,1362970477.958488013,Taking Off, NOFACE, NOTELECTED, NOGROUP, None, NOP, ;
1362970478078471242,15,1362970478078471242,,1362970478.078478012,Taking Off, NOFACE, NOTELECTED, NOGROUP, None, NOP, ;
1362970478198458212,16,1362970478198458212,,1362970478.198466348,Taking Off, NOFACE, NOTELECTED, NOGROUP, None, NOP, ;
1362970478318460088,17,1362970478318460088,,1362970478.318466964,Taking Off, NOFACE, NOTELECTED, NOGROUP, None, NOP, ;
1362970478438454118,18,1362970478438454118,,1362970478.438462386,Taking Off, NOFACE, NOTELECTED, NOGROUP, None, NOP, ;
1362970478558454279,19,1362970478558454279,,1362970478.558460736,Taking Off, NOFACE, NOTELECTED, NOGROUP, None, NOP, ;
1362970478678453822,20,1362970478678453822,,1362970478.678460990,Taking Off, NOFACE, NOTELECTED, NOGROUP, None, NOP, ;
1362970478798463577,21,1362970478798463577,,1362970478.798473687,Taking Off, NOFACE, NOTELECTED, NOGROUP, None, NOP, ;
1362970478918457816,22,1362970478918457816,,1362970478.918465230,Taking Off, NOFACE, NOTELECTED, NOGROUP, None, NOP, ;
1362970479038459742,23,1362970479038459742,,1362970479.038467587,Taking Off, NOFACE, NOTELECTED, NOGROUP, None, NOP, ;
1362970479158478669,24,1362970479158478669,,1362970479.158485299,Taking Off, NOFACE, NOTELECTED, NOGROUP, None, NOP, ;
1362970479278466389,25,1362970479278466389,,1362970479.278476903,Taking Off, NOFACE, NOTELECTED, NOGROUP, None, NOP, ;
1362970479398458247,26,1362970479398458247,,1362970479.398467528,Taking Off, NOFACE, NOTELECTED, NOGROUP, None, NOP, ;
1362970479518458103,27,1362970479518458103,,1362970479.518465078,Taking Off, NOFACE, NOTELECTED, NOGROUP, None, NOP, ;
1362970479638458585,28,1362970479638458585,,1362970479.638465892,Taking Off, NOFACE, NOTELECTED, NOGROUP, None, NOP, ;
1362970479758463524,29,1362970479758463524,,1362970479.758470097,Taking Off, NOFACE, NOTELECTED, NOGROUP, None, NOP, ;
1362970479878452521,30,1362970479878452521,,1362970479.878459247,Taking Off, NOFACE, NOTELECTED, NOGROUP, None, NOP, ;
1362970479998462814,31,1362970479998462814,,1362970479.998470397,Taking Off, NOFACE, NOTELECTED, NOGROUP, None, NOP, ;
1362970480118459823,32,1362970480118459823,,1362970480.118467475,Taking Off, NOFACE, NOTELECTED, NOGROUP, None, NOP, ;
1362970480238461741,33,1362970480238461741,,1362970480.238469134,Taking Off, NOFACE, NOTELECTED, NOGROUP, None, NOP, ;
1362970480358461606,34,1362970480358461606,,1362970480.358469641,Taking Off, NOFACE, NOTELECTED, NOGROUP, None, NOP, ;
1362970480478481318,35,1362970480478481318,,1362970480.478491877,Taking Off, NOFACE, NOTELECTED, NOGROUP, None, NOP, ;
1362970480598458904,36,1362970480598458904,,1362970480.598465685,Taking Off, NOFACE, NOTELECTED, NOGROUP, None, NOP, ;
1362970480718474192,37,1362970480718474192,,1362970480.718482381,Taking Off, NOFACE, NOTELECTED, NOGROUP, None, NOP, ;
1362970480838461204,38,1362970480838461204,,1362970480.838468396,Taking Off, NOFACE, NOTELECTED, NOGROUP, None, NOP, ;
1362970480958476981,39,1362970480958476981,,1362970480.958483440,Taking Off, NOFACE, NOTELECTED, NOGROUP, None, NOP, ;
1362970481078457404,40,1362970481078457404,,1362970481.078465099,Taking Off, NOFACE, NOTELECTED, NOGROUP, None, NOP, ;
1362970481198549269,41,1362970481198549269,,1362970481.198556028,Taking Off, NOFACE, NOTELECTED, NOGROUP, None, NOP, ;
1362970481318489278,42,1362970481318489278,,1362970481.318496657,Taking Off, NOFACE, NOTELECTED, NOGROUP, None, NOP, ;
1362970481438463886,43,1362970481438463886,,1362970481.438470976,Taking Off, NOFACE, NOTELECTED, NOGROUP, None, NOP, ;
1362970481558457224,44,1362970481558457224,,1362970481.558464345,Taking Off, NOFACE, NOTELECTED, NOGROUP, None, NOP, ;
1362970481678492790,45,1362970481678492790,,1362970481.678502282,Taking Off, NOFACE, NOTELECTED, NOGROUP, None, NOP, ;
1362970481798480477,46,1362970481798480477,,1362970481.798487677,Taking Off, NOFACE, NOTELECTED, NOGROUP, None, NOP, ;
1362970481918458833,47,1362970481918458833,,1362970481.918466400,Taking Off, NOFACE, NOTELECTED, NOGROUP, None, NOP, ;
1362970482038459500,48,1362970482038459500,,1362970482.038467055,Taking Off, NOFACE, NOTELECTED, NOGROUP, None, NOP, ;
1362970482158441628,49,1362970482158441628,,1362970482.158450836,Taking Off, NOFACE, NOTELECTED, NOGROUP, None, NOP, ;
1362970482278479088,50,1362970482278479088,,1362970482.278485365,Taking Off, NOFACE, NOTELECTED, NOGROUP, None, NOP, ;
1362970482398463030,51,1362970482398463030,,1362970482.398470586,Taking Off, NOFACE, NOTELECTED, NOGROUP, None, NOP, ;
1362970482518462332,52,1362970482518462332,,1362970482.518470058,Taking Off, NOFACE, NOTELECTED, NOGROUP, None, NOP, ;
1362970482638462857,53,1362970482638462857,,1362970482.638470984,Taking Off, NOFACE, NOTELECTED, NOGROUP, None, NOP, ;
1362970482758467192,54,1362970482758467192,,1362970482.758477032,Taking Off, NOFACE, NOTELECTED, NOGROUP, None, NOP, ;
1362970482878485752,55,1362970482878485752,,1362970482.878491040,Taking Off, NOFACE, NOTELECTED, NOGROUP, None, NOP, ;
1362970482998468863,56,1362970482998468863,,1362970482.998477742,Taking Off, NOFACE, NOTELECTED, NOGROUP, None, NOP, ;
1362970483118459865,57,1362970483118459865,,1362970483.118467862,Taking Off, NOFACE, NOTELECTED, NOGROUP, None, NOP, ;
1362970483238484129,58,1362970483238484129,,1362970483.238490743,Taking Off, NOFACE, NOTELECTED, NOGROUP, None, NOP, ;
1362970483358459686,59,1362970483358459686,,1362970483.358467037,Taking Off, NOFACE, NOTELECTED, NOGROUP, None, NOP, ;
1362970483478460809,60,1362970483478460809,,1362970483.478469138,Taking Off, NOFACE, NOTELECTED, NOGROUP, None, NOP, ;
1362970483598463802,61,1362970483598463802,,1362970483.598470713,Taking Off, NOFACE, NOTELECTED, NOGROUP, None, NOP, ;
1362970483718468172,62,1362970483718468172,,1362970483.718475445,Taking Off, NOFACE, NOTELECTED, NOGROUP, None, NOP, ;
1362970483838467716,63,1362970483838467716,,1362970483.838476896,Taking Off, NOFACE, NOTELECTED, NOGROUP, None, NOP, ;
1362970483958486130,64,1362970483958486130,,1362970483.958492928,Taking Off, NOFACE, NOTELECTED, NOGROUP, None, NOP, ;
1362970484078480820,65,1362970484078480820,,1362970484.078487385,Taking Off, NOFACE, NOTELECTED, NOGROUP, None, NOP, ;
1362970484198461271,66,1362970484198461271,,1362970484.198468416,Taking Off, NOFACE, NOTELECTED, NOGROUP, None, NOP, ;
1362970484318465879,67,1362970484318465879,,1362970484.318473263,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -2.14, -0.17, 0.755, 0, -0, 0.634, -3.5, -0.5, 1.5, 0, -0, 20;
1362970484438479840,68,1362970484438479840,,1362970484.438487373,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -2.13, -0.166, 0.759, 0, -0, 1.62, -3.5, -0.5, 1.5, 0, -0, 20;
1362970484558456784,69,1362970484558456784,,1362970484.558463415,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -2.12, -0.168, 0.742, 0, -0, 2.71, -3.5, -0.5, 1.5, 0, -0, 20;
1362970484678504103,70,1362970484678504103,,1362970484.678516194,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -2.13, -0.162, 0.791, 0, -0, 3.36, -3.5, -0.5, 1.5, 0, -0, 20;
1362970484798467708,71,1362970484798467708,,1362970484.798474210,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -2.17, -0.144, 0.883, 0, -0, 4.05, -3.5, -0.5, 1.5, 0, -0, 20;
1362970484918491631,72,1362970484918491631,,1362970484.918502725,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -2.21, -0.133, 0.91, 0, -0, 4.55, -3.5, -0.5, 1.5, 0, -0, 20;
1362970485038464312,73,1362970485038464312,,1362970485.038471611,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -2.28, -0.119, 0.964, 0, -0, 5.56, -3.5, -0.5, 1.5, 0, -0, 20;
1362970485158468121,74,1362970485158468121,,1362970485.158475658,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -2.36, -0.109, 0.973, 0, -0, 6.5, -3.5, -0.5, 1.5, 0, -0, 20;
1362970485278475602,75,1362970485278475602,,1362970485.278482045,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -2.45, -0.0922, 1.01, 0, -0, 7.45, -3.5, -0.5, 1.5, 0, -0, 20;
1362970485398466221,76,1362970485398466221,,1362970485.398474599,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -2.51, -0.0822, 1.03, 0, -0, 8.1, -3.5, -0.5, 1.5, 0, -0, 20;
1362970485518464150,77,1362970485518464150,,1362970485.518470390,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -2.58, -0.0853, 1.06, 0, -0, 8.79, -3.5, -0.5, 1.5, 0, -0, 20;
1362970485638468501,78,1362970485638468501,,1362970485.638477145,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -2.66, -0.0684, 1.13, 0, -0, 9.46, -3.5, -0.5, 1.5, 0, -0, 20;
1362970485758494503,79,1362970485758494503,,1362970485.758507856,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -2.77, -0.0565, 1.16, 0, -0, 10.3, -3.5, -0.5, 1.5, 0, -0, 20;
1362970485878470050,80,1362970485878470050,,1362970485.878478101,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -2.85, -0.0488, 1.21, 0, -0, 10.9, -3.5, -0.5, 1.5, 0, -0, 20;
1362970485998457439,81,1362970485998457439,,1362970485.998464368,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -2.94, 0, 1.29, 0, -0, 11.7, -3.5, -0.5, 1.5, 0, -0, 20;
1362970486118493565,82,1362970486118493565,,1362970486.118504883,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.02, 0, 1.34, 0, -0, 12.4, -3.5, -0.5, 1.5, 0, -0, 20;
1362970486238471574,83,1362970486238471574,,1362970486.238481213,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.09, 0, 1.39, 0, -0, 13.1, -3.5, -0.5, 1.5, 0, -0, 20;
1362970486358487869,84,1362970486358487869,,1362970486.358501096,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.15, 0, 1.44, 0, -0, 13.8, -3.5, -0.5, 1.5, 0, -0, 20;
1362970486478511214,85,1362970486478511214,,1362970486.478522570,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.24, 0.0347, 1.5, 0, -0, 14.6, -3.5, -0.5, 1.5, 0, -0, 20;
1362970486598529468,86,1362970486598529468,,1362970486.598532823,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.33, 0.0478, 1.52, 0, -0, 15.4, -3.5, -0.5, 1.5, 0, -0, 20.9;
1362970486718524642,87,1362970486718524642,,1362970486.718526594,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.38, 0.0605, 1.53, 0, -0, 16.1, -3.5, -0.5, 1.5, 0, -0, 21.7;
1362970486838568125,88,1362970486838568125,,1362970486.838571885,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.42, 0.0721, 1.55, 0, -0, 16.7, -3.5, -0.5, 1.5, 0, -0, 22.6;
1362970486958524227,89,1362970486958524227,,1362970486.958526656,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.49, 0.0846, 1.55, 0, -0, 17.5, -3.5, -0.5, 1.5, 0, -0, 23.4;
1362970487078611142,90,1362970487078611142,,1362970487.078614108,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.51, 0.0959, 1.55, 0, -0, 18, -3.5, -0.5, 1.5, 0, -0, 24.3;
1362970487198531474,91,1362970487198531474,,1362970487.198533435,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.55, 0.095, 1.54, 0, -0, 18.7, -3.5, -0.5, 1.5, 0, -0, 25.2;
1362970487318568480,92,1362970487318568480,,1362970487.318570224,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.58, 0.0956, 1.55, 0, -0, 19.5, -3.5, -0.5, 1.5, 0, -0, 26;
1362970487438600145,93,1362970487438600145,,1362970487.438602150,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.6, 0.0979, 1.52, 0, -0, 20.2, -3.5, -0.5, 1.5, 0, -0, 26.9;
1362970487558520021,94,1362970487558520021,,1362970487.558521734,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.61, 0.103, 1.51, 0, -0, 20.7, -3.5, -0.5, 1.5, 0, -0, 27.7;
1362970487678523567,95,1362970487678523567,,1362970487.678525251,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.61, 0.104, 1.5, 0, -0, 21.3, -3.5, -0.5, 1.5, 0, -0, 28.6;
1362970487798558259,96,1362970487798558259,,1362970487.798561289,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.61, 0.106, 1.5, 0, -0, 22, -3.5, -0.5, 1.5, 0, -0, 29.5;
1362970487918467658,97,1362970487918467658,,1362970487.918473862,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.61, 0.109, 1.48, 0, -0, 22.5, -3.5, -0.5, 1.5, 0, -0, 30;
1362970488038516001,98,1362970488038516001,,1362970488.038523978,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.6, 0.107, 1.48, 0, -0, 23.3, -3.5, -0.5, 1.5, 0, -0, 30;
1362970488158468753,99,1362970488158468753,,1362970488.158479738,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.53, 0.0981, 1.45, 0, -0, 24, -3.5, -0.5, 1.5, 0, -0, 30;
1362970488278466232,100,1362970488278466232,,1362970488.278473488,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.49, 0.0993, 1.45, 0, -0, 24.9, -3.5, -0.5, 1.5, 0, -0, 30;
1362970488398456521,101,1362970488398456521,,1362970488.398462977,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.49, 0.0984, 1.46, 0, -0, 25.4, -3.5, -0.5, 1.5, 0, -0, 30;
1362970488518475575,102,1362970488518475575,,1362970488.518485299,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.49, 0.0857, 1.46, 0, -0, 26, -3.5, -0.5, 1.5, 0, -0, 30;
1362970488638466656,103,1362970488638466656,,1362970488.638474258,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.47, 0.0823, 1.46, 0, -0, 26.9, -3.5, -0.5, 1.5, 0, -0, 30;
1362970488758581718,104,1362970488758581718,,1362970488.758583814,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.45, 0.072, 1.47, 0, -0, 27.6, -3.5, -0.5, 1.5, 0, -0, 29.7;
1362970488878523748,105,1362970488878523748,,1362970488.878525549,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.43, 0.0559, 1.47, 0, -0, 27.9, -3.5, -0.5, 1.5, 0, -0, 28.9;
1362970488998517775,106,1362970488998517775,,1362970488.998519846,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.39, 0.0517, 1.48, 0, -0, 28, -3.5, -0.5, 1.5, 0, -0, 28;
1362970489118556499,107,1362970489118556499,,1362970489.118558303,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.37, 0.0504, 1.48, 0, -0, 27.8, -3.5, -0.5, 1.5, 0, -0, 27.2;
1362970489238517065,108,1362970489238517065,,1362970489.238519309,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.35, 0.0407, 1.49, 0, -0, 27.3, -3.5, -0.5, 1.5, 0, -0, 26.3;
1362970489358540192,109,1362970489358540192,,1362970489.358542225,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.32, 0.0377, 1.5, 0, -0, 26.7, -3.5, -0.5, 1.5, 0, -0, 25.4;
1362970489478516246,110,1362970489478516246,,1362970489.478518117,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.3, 0, 1.5, 0, -0, 26.2, -3.5, -0.5, 1.5, 0, -0, 24.6;
1362970489598604657,111,1362970489598604657,,1362970489.598606626,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.27, 0, 1.5, 0, -0, 25.5, -3.5, -0.5, 1.5, 0, -0, 23.7;
1362970489718513470,112,1362970489718513470,,1362970489.718514758,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.26, 0, 1.5, 0, -0, 24.9, -3.5, -0.5, 1.5, 0, -0, 22.9;
1362970489838519316,113,1362970489838519316,,1362970489.838520536,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.24, 0, 1.49, 0, -0, 24, -3.5, -0.5, 1.5, 0, -0, 22;
1362970489958522160,114,1362970489958522160,,1362970489.958523506,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.22, 0, 1.49, 0, -0, 23.2, -3.5, -0.5, 1.5, 0, -0, 21.1;
1362970490078518144,115,1362970490078518144,,1362970490.078520096,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.21, 0, 1.5, 0, -0, 22.4, -3.5, -0.5, 1.5, 0, -0, 20.3;
1362970490198498127,116,1362970490198498127,,1362970490.198499438,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.2, -0.0465, 1.49, 0, -0, 21.4, -3.5, -0.5, 1.5, 0, -0, 19.4;
1362970490318526620,117,1362970490318526620,,1362970490.318528694,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.19, -0.0576, 1.5, 0, -0, 20.9, -3.5, -0.5, 1.5, 0, -0, 18.6;
1362970490438684303,118,1362970490438684303,,1362970490.438687684,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.18, -0.0751, 1.49, 0, -0, 19.8, -3.5, -0.5, 1.5, 0, -0, 17.7;
1362970490558487665,119,1362970490558487665,,1362970490.558496072,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.18, -0.0972, 1.49, 0, -0, 18.8, -3.5, -0.5, 1.5, 0, -0, 17.1;
1362970490678460476,120,1362970490678460476,,1362970490.678467968,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.17, -0.119, 1.5, 0, -0, 18.2, -3.5, -0.5, 1.5, 0, -0, 17.1;
1362970490798467783,121,1362970490798467783,,1362970490.798475334,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.18, -0.129, 1.48, 0, -0, 17.5, -3.5, -0.5, 1.5, 0, -0, 17.1;
1362970490918494712,122,1362970490918494712,,1362970490.918504059,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.18, -0.142, 1.49, 0, -0, 17, -3.5, -0.5, 1.5, 0, -0, 17.1;
1362970491038472814,123,1362970491038472814,,1362970491.038480310,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.18, -0.157, 1.49, 0, -0, 16.7, -3.5, -0.5, 1.5, 0, -0, 17.1;
1362970491158473492,124,1362970491158473492,,1362970491.158482882,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.18, -0.177, 1.49, 0, -0, 16.5, -3.5, -0.5, 1.5, 0, -0, 17.1;
1362970491278464172,125,1362970491278464172,,1362970491.278471930,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.19, -0.18, 1.49, 0, -0, 16.5, -3.5, -0.5, 1.5, 0, -0, 17.1;
1362970491398469051,126,1362970491398469051,,1362970491.398477713,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.2, -0.185, 1.49, 0, -0, 16.5, -3.5, -0.5, 1.5, 0, -0, 17.1;
1362970491518469741,127,1362970491518469741,,1362970491.518480699,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.21, -0.187, 1.48, 0, -0, 16.4, -3.5, -0.5, 1.5, 0, -0, 17.1;
1362970491638462978,128,1362970491638462978,,1362970491.638467820,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.23, -0.188, 1.49, 0, -0, 16.5, -3.5, -0.5, 1.5, 0, -0, 17.1;
1362970491758459626,129,1362970491758459626,,1362970491.758466830,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.25, -0.186, 1.48, 0, -0, 16.4, -3.5, -0.5, 1.5, 0, -0, 17.1;
1362970491878467337,130,1362970491878467337,,1362970491.878477986,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.26, -0.186, 1.48, 0, -0, 16.5, -3.5, -0.5, 1.5, 0, -0, 17.1;
1362970491998459043,131,1362970491998459043,,1362970491.998467611,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.28, -0.192, 1.49, 0, -0, 16.5, -3.5, -0.5, 1.5, 0, -0, 17.1;
1362970492118455271,132,1362970492118455271,,1362970492.118461713,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.29, -0.192, 1.49, 0, -0, 16.5, -3.5, -0.5, 1.5, 0, -0, 17.1;
1362970492238463566,133,1362970492238463566,,1362970492.238470903,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.3, -0.19, 1.49, 0, -0, 16.6, -3.5, -0.5, 1.5, 0, -0, 17.1;
1362970492358459438,134,1362970492358459438,,1362970492.358468110,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.33, -0.183, 1.5, 0, -0, 16.7, -3.5, -0.5, 1.5, 0, -0, 17.1;
1362970492478476915,135,1362970492478476915,,1362970492.478484209,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.34, -0.177, 1.5, 0, -0, 16.7, -3.5, -0.5, 1.5, 0, -0, 17.1;
